gene_id,gene_name
ensmusg00000090128,gm16038
ensmusg00000026384,ptpn4
ensmusg00000091876,gm3851
ensmusg00000103146,gm37745
ensmusg00000100436,gm29657
ensmusg00000090277,gm8338
ensmusg00000100042,gm29658
ensmusg00000036975,tmem177
ensmusg00000032769,trpa1
ensmusg00000088159,gm26345
ensmusg00000073737,gm10566
ensmusg00000092083,kcnb2
ensmusg00000102937,gm38116
ensmusg00000104149,gm37138
ensmusg00000088829,gm25227
ensmusg00000026519,tmem63a
ensmusg00000085563,2210411m09rik
ensmusg00000103930,gm36961
ensmusg00000036962,cfap221
ensmusg00000092245,gm17973
ensmusg00000026387,sctr
ensmusg00000038776,ephx1
ensmusg00000050777,tmem37
ensmusg00000103516,gm37431
ensmusg00000102858,gm37086
ensmusg00000038768,degs1l
ensmusg00000104390,gm17967
ensmusg00000026516,nvl
ensmusg00000103178,fgfr3-ps
ensmusg00000062169,cnih4
ensmusg00000026103,gls
ensmusg00000099648,gm5975
ensmusg00000065192,gm23460
ensmusg00000002881,nab1
ensmusg00000100007,gm5527
ensmusg00000058665,en1
ensmusg00000101700,gm29359
ensmusg00000104332,gm38283
ensmusg00000043015,nemp2
ensmusg00000103630,gm37242
ensmusg00000038733,wdr26
ensmusg00000003721,insig2
ensmusg00000104253,gm37174
ensmusg00000054135,a430110l20rik
ensmusg00000081214,rpl35a-ps2
ensmusg00000103260,gm8146
ensmusg00000041439,mfsd6
ensmusg00000100302,gm29670
ensmusg00000100230,gm28650
ensmusg00000026514,cnih3
ensmusg00000102276,2900069g24rik
ensmusg00000089888,gm16547
ensmusg00000089927,gm16539
ensmusg00000026102,inpp1
ensmusg00000041426,hibch
ensmusg00000089802,gm16107
ensmusg00000026339,ccdc93
ensmusg00000085857,gm15392
ensmusg00000083582,gm15393
ensmusg00000050534,htr5b
ensmusg00000081130,gm8217
ensmusg00000043629,1700019d03rik
ensmusg00000026100,mstn
ensmusg00000001674,ddx18
ensmusg00000102006,gm28591
ensmusg00000102488,gm37920
ensmusg00000083584,gm15394
ensmusg00000100913,gm8392
ensmusg00002076253,gm55335
ensmusg00000099960,gm28590
ensmusg00000089274,gm24547
ensmusg00000103263,gm36982
ensmusg00000089190,gm25771
ensmusg00000099451,gm29192
ensmusg00000104180,gm37970
ensmusg00000100762,gm8403
ensmusg00000100405,gm28911
ensmusg00000100525,gm20058
ensmusg00000101495,gm28912
ensmusg00000036707,cab39
ensmusg00000026223,itm2c
ensmusg00000026224,4933407l21rik
ensmusg00000099767,gm28884
ensmusg00000049608,gpr55
ensmusg00000036815,dpp10
ensmusg00000102801,gm37478
ensmusg00000102681,gm37221
ensmusg00000077472,gm24791
ensmusg00000104410,gm37066
ensmusg00000102521,gm37781
ensmusg00000104205,gm37396
ensmusg00000102902,gm38263
ensmusg00000101985,gm28929
ensmusg00000101994,gm18875
ensmusg00000102940,gm37551
ensmusg00000103914,gm38073
ensmusg00000065340,gm25578
ensmusg00000101006,gm28299
ensmusg00000102240,gm37717
ensmusg00000025939,ube2w
ensmusg00000102457,gm38342
ensmusg00000096141,dnah7a
ensmusg00000026094,stk17b
ensmusg00000102405,gm37863
ensmusg00000026341,actr3
ensmusg00000079658,eloc
ensmusg00000100959,idi1-ps5
ensmusg00000026342,slc35f5
ensmusg00000025940,tmem70
ensmusg00000101015,gm18444
ensmusg00000026343,gpr39
ensmusg00000025779,ly96
ensmusg00000100093,gm29649
ensmusg00000091020,gm5828
ensmusg00000026344,lypd1
ensmusg00000101640,gm28376
ensmusg00000104133,4921511e07rik
ensmusg00000042686,jph1
ensmusg00000025777,gdap1
ensmusg00000100272,gm28785
ensmusg00000101589,rbm6-ps1
ensmusg00000102048,gm6075
ensmusg00000089534,gm25166
ensmusg00000042807,hecw2
ensmusg00000098443,mir7681
ensmusg00000087949,gm24251
ensmusg00000102868,gm37633
ensmusg00000119657,gm25829
ensmusg00000025776,crispld1
ensmusg00000099895,gm28153
ensmusg00000100554,gm7690
ensmusg00000099473,gm18775
ensmusg00000099591,gm17969
ensmusg00000102001,gm28755
ensmusg00000101717,gm45784
ensmusg00000025983,ccdc150
ensmusg00000025774,crisp4
ensmusg00000073735,defb18
ensmusg00000041303,gtf3c3
ensmusg00000109809,gm34066
ensmusg00000049690,nckap5
ensmusg00000067773,defb41
ensmusg00000101685,gm17837
ensmusg00000101306,gm5252
ensmusg00000104519,gm37161
ensmusg00000088800,gm24075
ensmusg00000102723,gm37936
ensmusg00000101644,gm28343
ensmusg00000103824,gm38177
ensmusg00000099433,gm28344
ensmusg00000101385,gm5261
ensmusg00000042596,tfap2d
ensmusg00000100720,gm10075
ensmusg00000073678,pgap1
ensmusg00000104136,gm36955
ensmusg00000101130,gm19637
ensmusg00000036155,mgat5
ensmusg00000104039,gm37772
ensmusg00000104378,gm37510
ensmusg00000099471,gm8451
ensmusg00000106307,gm23370
ensmusg00002075922,gm23370
ensmusg00000065687,gm23734
ensmusg00000103390,gm38301
ensmusg00000025927,tfap2b
ensmusg00000101117,gm28341
ensmusg00000100204,gm4849
ensmusg00002076883,gm55451
ensmusg00000102597,gm38382
ensmusg00000097260,gm5706
ensmusg00000073482,gm10517
ensmusg00000026347,tmem163
ensmusg00000026348,acmsd
ensmusg00000026510,trp53bp2
ensmusg00000043760,pkhd1
ensmusg00000091806,gm5258
ensmusg00000101853,gm28627
ensmusg00000104095,gm37315
ensmusg00000090142,gm15795
ensmusg00000070175,gm24162
ensmusg00000099906,lincmd1
ensmusg00000065559,mir206
ensmusg00000065480,mir133b
ensmusg00000025929,il17a
ensmusg00000026349,ccnt2
ensmusg00000041872,il17f
ensmusg00000052331,ankrd44
ensmusg00000026234,ncl
ensmusg00000102503,gm37370
ensmusg00000064837,snora75
ensmusg00002075552,gm55461
ensmusg00000104627,mir3535
ensmusg00000102642,a130048g24rik
ensmusg00002076827,gm55462
ensmusg00000064823,snord82
ensmusg00000026509,capn2
ensmusg00000110510,gm45908
ensmusg00000104415,gm37069
ensmusg00000026237,nmur1
ensmusg00000036574,tex44
ensmusg00000101328,rpl30-ps6
ensmusg00000051590,map3k19
ensmusg00000041859,mcm3
ensmusg00000099714,gm20587
ensmusg00000102121,gm28065
ensmusg00000088858,gm24723
ensmusg00000025982,sf3b1
ensmusg00000103030,e330011m16rik
ensmusg00000026238,ptma
ensmusg00000025931,paqr8
ensmusg00000077314,gm24171
ensmusg00000100929,gm28064
ensmusg00000041809,efhc1
ensmusg00000026239,pde6d
ensmusg00000102927,gm37152
ensmusg00000025981,coq10b
ensmusg00000101122,gm17971
ensmusg00000041779,tram2
ensmusg00000099971,gm28287
ensmusg00000036104,rab3gap1
ensmusg00000025933,tmem14a
ensmusg00000102633,gm38224
ensmusg00000026240,cops7b
ensmusg00002075077,gm55476
ensmusg00000103609,gm37022
ensmusg00000070565,rasal2
ensmusg00000026241,nppc
ensmusg00000102326,gm37788
ensmusg00000102391,gm37578
ensmusg00000087632,gm6058
ensmusg00000103808,gm37060
ensmusg00000025980,hspd1
ensmusg00000073676,hspe1
ensmusg00000100736,gm5147
ensmusg00000089670,gm16581
ensmusg00000025934,gsta3
ensmusg00000036086,zranb3
ensmusg00000104164,gm38248
ensmusg00000058603,rpl28-ps1
ensmusg00000102782,gm37625
ensmusg00000103999,gm38026
ensmusg00000033488,cryzl2
ensmusg00000067750,khdc1a
ensmusg00000041722,khdc1c
ensmusg00000025979,mob4
ensmusg00000085507,gm2709
ensmusg00000094926,gm16533
ensmusg00000085079,khdc1b
